OBJECTID,DESCRIPTION,NAME,OWNER,ADDRESS,SUBURB,STATE,LATITUDE,LONGITUDE
1,An establishment where a range of fuel products can be purchased by motorists,Cobram,BP,3701 Murray Valley Highway,Cobram,Victoria,-35.92117541,145.6383058
2,An establishment where a range of fuel products can be purchased by motorists,Horsham,Atlas Fuels Pty Ltd,2 O'Callaghans Parade,Horsham,Victoria,-36.71910713,142.1999839
3,An establishment where a range of fuel products can be purchased by motorists,Paynesville,7-Eleven Pty Ltd,Paynesville Road,Paynesville,Victoria,-37.90706166,147.7190163
4,An establishment where a range of fuel products can be purchased by motorists,Lakes Entrance,7-Eleven Pty Ltd,16 Princes Highway,Lakes Entrance,Victoria,-37.8748169,148.0078735
5,An establishment where a range of fuel products can be purchased by motorists,Oz Fuel,Oz Fuel,653 Deception Bay Road,Deception Bay,Queensland,-27.205132,153.038373
6,An establishment where a range of fuel products can be purchased by motorists,Independent,Independent Fuel Supplies,653 Deception Bay Road,Deception Bay,Queensland,-27.205189,153.038314
7,An establishment where a range of fuel products can be purchased by motorists,Coles Express Rothwell,Shell,761 Deception Bay Road,Rothwell,Queensland,-27.213908,153.047045
8,An establishment where a range of fuel products can be purchased by motorists,Independent Kempsey,Independent Fuel Supplies,101 Smith Street,Kempsey,New South Wales,-31.075287,152.843878
9,An establishment where a range of fuel products can be purchased by motorists,Independent Wanneroo,Independent Fuel Supplies,951 Wanneroo Road,Wanneroo,Western Australia,-31.75262,115.803339
10,An establishment where a range of fuel products can be purchased by motorists,Gull Madeley,Gull,182 Wanneroo Road,Madeley,Western Australia,-31.816954,115.82135
11,An establishment where a range of fuel products can be purchased by motorists,Gull Dianella,Gull,63 Walter Road West,Dianella,Western Australia,-31.906418,115.881988
12,An establishment where a range of fuel products can be purchased by motorists,Liberty-Como,Liberty,25 Preston Street,Como,Western Australia,-31.99426,115.859453
13,An establishment where a range of fuel products can be purchased by motorists,Independent Maddington,Independent Fuel Supplies,137 Kelvin Road,Maddington,Western Australia,-32.034654,116.000983
14,An establishment where a range of fuel products can be purchased by motorists,Caltex Wellington,Caltex,124 Lee Street,Wellington,New South Wales,-32.550847,148.941095
15,An establishment where a range of fuel products can be purchased by motorists,Independent Wellington,Independent Fuel Supplies,156-174 Mitchell Highway,Wellington,New South Wales,-32.562503,148.943067
16,An establishment where a range of fuel products can be purchased by motorists,Independent Taralga,Independent Fuel Supplies,60 Bunnaby Street,Taralga,New South Wales,-34.405932,149.818929
17,An establishment where a range of fuel products can be purchased by motorists,Independent Crookwell,Independent Fuel Supplies,204 Goulburn Street,Crookwell,New South Wales,-34.461074,149.474369
18,An establishment where a range of fuel products can be purchased by motorists,BP Kerang,BP,19 Wellington Street,Kerang,Victoria,-35.734739,143.922234
